epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6666.89,1.23465,1.10914,1.38853,0.85132,0.83239,0.88297,0.57738,1.18332,0.67927,1.35304,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,6883.06,1.2266,1.10237,1.38652,0.83101,0.82833,0.87765,0.57599,1.16381,0.67311,1.32882,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,7098.85,1.22415,1.09199,1.38269,0.84956,0.83182,0.87829,0.5746,1.18736,0.66268,1.35794,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,7315.05,1.21697,1.08703,1.37633,0.81418,0.85638,0.87372,0.56849,1.1857,0.6753,1.33751,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7531.03,1.21256,1.07059,1.36718,0.86533,0.81324,0.87644,0.57062,1.17815,0.66905,1.32454,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7747.01,1.20805,1.05655,1.36168,0.83823,0.82966,0.87473,0.57516,1.17373,0.65251,1.33819,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,7962.64,1.20267,1.04769,1.35774,0.8391,0.83578,0.87876,0.58398,1.16345,0.64962,1.32334,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,8178.29,1.1882,1.02344,1.33968,0.83126,0.85801,0.88996,0.58237,1.17578,0.64568,1.32442,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,8393.68,1.18573,1.02759,1.34686,0.87174,0.84159,0.89634,0.58911,1.16811,0.62916,1.32909,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,8609.46,1.17811,1.01922,1.3375,0.8449,0.86299,0.88843,0.58989,1.15904,0.6316,1.32758,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,8824.8,1.17261,1.00634,1.33878,0.86522,0.84165,0.89075,0.58969,1.16666,0.63236,1.33631,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,9040.63,1.1738,1.0019,1.34108,0.87164,0.84177,0.89608,0.59132,1.16957,0.62571,1.33028,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,9256.09,1.16807,0.98735,1.32955,0.85451,0.85736,0.89303,0.58754,1.16169,0.62901,1.32365,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,9471.88,1.16059,0.98578,1.32544,0.85927,0.84504,0.89205,0.58878,1.16583,0.62594,1.32601,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,9687.24,1.14958,0.96918,1.31613,0.85801,0.83774,0.89518,0.59183,1.16503,0.62154,1.32584,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,9895.29,1.14107,0.96257,1.30957,0.8478,0.85953,0.89169,0.5901,1.17676,0.6241,1.34049,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,10102.7,1.1393,0.95445,1.31082,0.85841,0.8326,0.88914,0.58594,1.16209,0.63618,1.332,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,10310.4,1.13233,0.94463,1.30445,0.85985,0.83599,0.89667,0.58966,1.17698,0.62797,1.33952,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,10524.2,1.13243,0.93777,1.30081,0.84791,0.845,0.89357,0.59153,1.17567,0.62522,1.34652,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,10739.7,1.1244,0.93175,1.2963,0.82814,0.86051,0.88505,0.58473,1.16348,0.62679,1.3269,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,10955.2,1.11741,0.92159,1.29324,0.85152,0.84743,0.88651,0.58482,1.15923,0.62744,1.32452,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,11171,1.11672,0.91404,1.28858,0.85683,0.84379,0.89015,0.59457,1.16324,0.62549,1.32999,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,11386.3,1.10676,0.90447,1.28664,0.84348,0.86757,0.89852,0.59419,1.16198,0.61425,1.33227,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,11602,1.10426,0.89698,1.28116,0.84517,0.86778,0.90459,0.6003,1.16035,0.608,1.33178,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,11812.5,1.1033,0.89436,1.28226,0.86361,0.84138,0.90207,0.59586,1.16404,0.60634,1.33295,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,12021.6,1.09533,0.88579,1.27616,0.85048,0.86184,0.90099,0.59544,1.15715,0.59926,1.33458,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,12230.5,1.08757,0.88468,1.27405,0.87306,0.85766,0.90291,0.59771,1.1492,0.59406,1.32646,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,12439.8,1.08426,0.87414,1.26832,0.87001,0.85547,0.90437,0.59601,1.15567,0.59941,1.32913,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,12649.4,1.08321,0.87211,1.26494,0.86534,0.85438,0.89981,0.59683,1.15359,0.59903,1.32488,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,12858.7,1.07432,0.86462,1.26296,0.85458,0.86165,0.89808,0.59634,1.15414,0.61126,1.3231,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,13067.6,1.07223,0.85514,1.25543,0.87507,0.83979,0.90067,0.59571,1.15634,0.60937,1.32478,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,13276.9,1.07023,0.85787,1.25669,0.87859,0.84496,0.90384,0.59594,1.15616,0.60637,1.33128,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,13485.8,1.06076,0.83817,1.24789,0.88608,0.84278,0.90247,0.59691,1.15888,0.60261,1.33571,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,13695,1.05919,0.83244,1.24867,0.87289,0.84994,0.90334,0.59747,1.15321,0.60559,1.32737,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,13904.8,1.0533,0.83104,1.24066,0.86426,0.85865,0.90368,0.60018,1.14633,0.60542,1.31904,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,14113.1,1.04905,0.82089,1.23871,0.86765,0.85273,0.90095,0.6009,1.14685,0.60914,1.32181,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,14322.4,1.04852,0.81688,1.23695,0.85016,0.86177,0.90123,0.60246,1.14672,0.60193,1.32259,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,14530.8,1.03708,0.81043,1.22647,0.86246,0.86346,0.90448,0.60192,1.14506,0.60058,1.3255,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,14739.1,1.03527,0.80709,1.22971,0.87014,0.86306,0.90327,0.60124,1.14964,0.59563,1.33162,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,14948.2,1.03189,0.79827,1.23048,0.87214,0.85258,0.90283,0.59563,1.15152,0.598,1.33486,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,15155,1.03129,0.79955,1.22469,0.87496,0.84879,0.90392,0.60041,1.14962,0.5982,1.33391,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,15364.7,1.02527,0.79052,1.22232,0.84864,0.87343,0.90332,0.59929,1.14457,0.59507,1.32825,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
