epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,388.243,1.67865,4.20691,0.02101,0.49297,0.50945,0.47254,0.27014,1.51769,1.50954,0.01854,0.00998563,0.00332854,0.00998563,0.00332854,0.0767002,0.0700431,0.00998563,0.00332854
2,663.163,1.61424,2.28567,0.02028,0.65696,0.61831,0.65376,0.37872,1.4314,1.08244,0.01781,0.0199461,0.00664869,0.0199461,0.00664869,0.0533273,0.0400299,0.0199461,0.00664869
3,932.758,1.65828,2.12969,0.02078,0.6091,0.59328,0.6186,0.33642,1.53666,1.27421,0.01961,0.0298669,0.00995563,0.0298669,0.00995563,0.0299148,0.0100035,0.0298669,0.00995563
4,1197.96,1.69719,2.0925,0.02136,0.67158,0.65301,0.69276,0.38807,1.44987,1.07393,0.01807,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1463.49,1.67244,1.97059,0.0207,0.48147,0.59717,0.52709,0.30806,1.47995,1.4602,0.01828,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1728.97,1.63447,1.8892,0.02018,0.69276,0.66173,0.70916,0.41828,1.41514,1.04073,0.01725,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1993.59,1.60578,1.78634,0.01987,0.67438,0.73002,0.73806,0.43881,1.3805,0.93899,0.01697,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2258.49,1.58788,1.74714,0.0196,0.71265,0.69701,0.73374,0.43761,1.37842,0.88499,0.01703,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2523.43,1.56085,1.71325,0.01887,0.75742,0.74265,0.80096,0.48562,1.34286,0.83258,0.01595,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2788.04,1.55139,1.64266,0.01879,0.78609,0.74458,0.79809,0.48168,1.33091,0.8224,0.01605,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3055.16,1.53175,1.60224,0.01846,0.73081,0.75456,0.80353,0.48048,1.32657,0.80935,0.01639,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3320.4,1.51591,1.5592,0.01824,0.75772,0.76375,0.81688,0.49374,1.31355,0.80595,0.01588,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,3588.55,1.49915,1.53428,0.01782,0.75874,0.71711,0.78991,0.47109,1.35566,0.83628,0.01616,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,3857.07,1.48773,1.49567,0.01778,0.76974,0.78112,0.83881,0.51578,1.28362,0.72629,0.01532,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,4125.44,1.47603,1.46823,0.01768,0.78247,0.76134,0.84773,0.52692,1.27702,0.70907,0.01526,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,4393.68,1.46952,1.46831,0.01745,0.82269,0.77174,0.84344,0.52513,1.28032,0.74269,0.01519,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,4661.81,1.45802,1.4324,0.01724,0.80229,0.77516,0.84271,0.52557,1.2647,0.73172,0.0151,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,4930.19,1.45216,1.40545,0.01715,0.80812,0.77496,0.83232,0.52095,1.29643,0.71976,0.0155,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,5198.15,1.43798,1.38572,0.01689,0.81333,0.76928,0.84598,0.53319,1.28907,0.72444,0.01519,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,5466.28,1.4342,1.35591,0.01689,0.80368,0.80344,0.86271,0.5456,1.2648,0.65739,0.01481,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,5734.67,1.42974,1.34682,0.01671,0.80115,0.77915,0.85636,0.54155,1.27837,0.67281,0.01523,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,6002.73,1.41712,1.33156,0.01654,0.80594,0.80889,0.86258,0.54573,1.26659,0.6563,0.01514,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,6271.35,1.41123,1.30977,0.01634,0.79298,0.80079,0.85679,0.5541,1.23279,0.67801,0.01453,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,6539.84,1.39926,1.29989,0.0164,0.82738,0.80025,0.87275,0.55158,1.25943,0.63779,0.01481,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,6808.1,1.38816,1.27872,0.01617,0.83116,0.7877,0.8624,0.55475,1.24809,0.6569,0.01486,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,7076.15,1.38445,1.26312,0.01602,0.80758,0.80541,0.85204,0.54186,1.23137,0.67877,0.01439,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,7344.48,1.37791,1.25707,0.01603,0.78883,0.82668,0.87269,0.55245,1.26253,0.64491,0.01485,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,7614.2,1.37285,1.25759,0.01594,0.87143,0.78457,0.89045,0.56466,1.23008,0.61289,0.01445,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,7882.56,1.37435,1.2213,0.01577,0.83326,0.82951,0.87803,0.55967,1.22507,0.62994,0.01416,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
