epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,8367.56,1.31524,1.10039,0.01505,0.83004,0.83386,0.88951,0.57792,1.21649,0.59461,0.01415,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,8635.45,1.30885,1.0819,0.01483,0.85685,0.83283,0.88941,0.57711,1.22364,0.58654,0.01408,0.0253960,0.0084660,0.0253960,0.0084660,0.0253960,0.0084660,0.0253960,0.0084660
33,8904.55,1.30331,1.05815,0.01476,0.83841,0.82222,0.88948,0.57947,1.22129,0.59947,0.01413,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,9178.07,1.29119,1.05638,0.01464,0.8614,0.84849,0.90042,0.58059,1.21979,0.57509,0.01409,0.0251000,0.0083670,0.0251000,0.0083670,0.0251000,0.0083670,0.0251000,0.0083670
35,9451.43,1.29228,1.05437,0.01462,0.84457,0.8393,0.89083,0.5741,1.22467,0.58816,0.01414,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,9725,1.29125,1.04627,0.01459,0.83789,0.84938,0.89467,0.5775,1.22006,0.5808,0.01407,0.0248030,0.0082680,0.0248030,0.0082680,0.0248030,0.0082680,0.0248030,0.0082680
37,9998.51,1.28499,1.03419,0.0146,0.84843,0.83889,0.8821,0.57321,1.20903,0.60059,0.01394,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,10271.9,1.27404,1.02885,0.01441,0.85189,0.8525,0.89078,0.58252,1.21228,0.58428,0.01393,0.0245050,0.0081690,0.0245050,0.0081690,0.0245050,0.0081690,0.0245050,0.0081690
39,10545.1,1.27385,1.02623,0.01437,0.84122,0.8303,0.89094,0.5706,1.22463,0.59586,0.01404,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,10818.2,1.26386,1.00829,0.01427,0.86284,0.83176,0.89409,0.5863,1.20885,0.59849,0.01396,0.0242090,0.0080700,0.0242090,0.0080700,0.0242090,0.0080700,0.0242090,0.0080700
41,11091.3,1.25593,1.01045,0.01425,0.8463,0.84989,0.89627,0.58423,1.21119,0.58582,0.01399,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,11364.5,1.25638,1.00657,0.01423,0.84574,0.85728,0.89669,0.58392,1.21541,0.59799,0.01404,0.0239110,0.0079710,0.0239110,0.0079710,0.0239110,0.0079710,0.0239110,0.0079710
43,11637.6,1.25073,0.97545,0.01412,0.85676,0.83691,0.89785,0.583,1.21244,0.59276,0.01396,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,11910.7,1.25016,0.97725,0.01406,0.87815,0.8286,0.89937,0.58601,1.21179,0.57032,0.01391,0.0236150,0.0078720,0.0236150,0.0078720,0.0236150,0.0078720,0.0236150,0.0078720
45,12183.8,1.24707,0.96803,0.01403,0.88486,0.82719,0.90917,0.59712,1.20697,0.563,0.01384,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,12457.1,1.24786,0.9447,0.01394,0.88008,0.83288,0.90741,0.59183,1.21691,0.56829,0.01397,0.0233180,0.0077720,0.0233180,0.0077720,0.0233180,0.0077720,0.0233180,0.0077720
47,12730.1,1.23088,0.94715,0.01391,0.8728,0.83248,0.89678,0.59064,1.19719,0.57691,0.01365,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,13003.4,1.23159,0.93933,0.01383,0.87341,0.82881,0.90343,0.59282,1.19831,0.57295,0.01366,0.0230200,0.0076730,0.0230200,0.0076730,0.0230200,0.0076730,0.0230200,0.0076730
49,13276.4,1.23043,0.94237,0.0138,0.88235,0.83765,0.90489,0.59452,1.20473,0.56837,0.0138,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,13549.5,1.22637,0.91144,0.01369,0.87373,0.83945,0.90525,0.59962,1.20324,0.57153,0.0137,0.0227240,0.0075740,0.0227240,0.0075740,0.0227240,0.0075740,0.0227240,0.0075740
51,13822.8,1.22955,0.91077,0.01388,0.86104,0.86648,0.90814,0.59497,1.21026,0.55639,0.01384,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14096,1.21779,0.91217,0.01366,0.88085,0.84332,0.9078,0.60002,1.20066,0.54745,0.01371,0.0224260,0.0074760,0.0224260,0.0074760,0.0224260,0.0074760,0.0224260,0.0074760
53,14369,1.21051,0.90599,0.01359,0.86706,0.85498,0.91058,0.59959,1.20229,0.54547,0.01373,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
